b*,h*,V*
0.01,0.0041403,0.01
0.02,0.0039766,0.01
0.03,0.0029535,0.01
0.04,0.0019643,0.01
0.05,0.0012269,0.01
0.06,0.00073605,0.01
0.07,0.00042935,0.01
0.08,0.00049068,0.01
0.09,0.00027601,0.01
0.1,0.0039967,0.039739
0.11,0.0065877,0.050055
0.12,0.00534,0.049451
0.13,0.0046865,0.049939
0.14,0.0070005,0.059939
0.15,0.0035702,0.050149
0.16,0.0084874,0.06988
0.17,0.011298,0.080087
0.18,0.0067312,0.069889
0.19,0.0089849,0.079853
0.2,0.0082167,0.080225
0.21,0.0073787,0.079953
0.22,0.0095943,0.090014
0.23,0.0087996,0.090057
0.24,0.011033,0.099899
0.25,0.010231,0.10014
0.26,0.012559,0.11009
0.27,0.011646,0.11006
0.28,0.017859,0.13003
0.29,0.016644,0.13003
0.3,0.012255,0.12007
0.31,0.014585,0.13003
0.32,0.013683,0.13005
0.33,0.012867,0.13002
0.34,0.012107,0.12999
0.35,0.01428,0.14003
0.36,0.013509,0.14007
0.37,0.012773,0.14002
0.38,0.014874,0.14995
0.39,0.014164,0.15004
0.4,0.019627,0.16999
0.41,0.018605,0.17001
0.42,0.017783,0.17002
0.43,0.020125,0.18001
0.44,0.019235,0.18008
0.45,0.018427,0.18008
0.46,0.017574,0.18
0.47,0.016884,0.18005
0.48,0.019041,0.19003
0.49,0.018253,0.19003
0.5,0.020504,0.2001
0.51,0.022776,0.21003
0.52,0.025165,0.22005
0.53,0.021088,0.21004
0.54,0.020371,0.21003
0.55,0.022536,0.22006
0.56,0.021716,0.22003
0.57,0.021006,0.22005
0.58,0.023166,0.23006
0.59,0.025492,0.24004
0.6,0.027808,0.25005
0.61,0.026907,0.25009
0.62,0.025955,0.25004
0.63,0.025258,0.25002
0.64,0.027518,0.26005
0.65,0.026702,0.26009
0.66,0.028978,0.27009
0.67,0.02815,0.27005
0.68,0.027345,0.27004
0.69,0.029653,0.28005
0.7,0.0354,0.30005
0.71,0.034397,0.30006
0.72,0.033497,0.30006
0.73,0.032618,0.30007
0.74,0.031754,0.30006
0.75,0.034113,0.31011
0.76,0.033266,0.31008
0.77,0.035608,0.32006
0.78,0.03462,0.32011
0.79,0.033913,0.32009
0.8,0.036231,0.33006
0.81,0.035294,0.33006
0.82,0.037712,0.3401
0.83,0.033371,0.33004
0.84,0.036022,0.34006
0.85,0.035139,0.34007
0.86,0.04072,0.36009
0.87,0.036576,0.35007
0.88,0.038806,0.36007
0.89,0.04129,0.37008
0.9,0.043802,0.38007
0.91,0.042928,0.38012
0.92,0.042029,0.38007
0.93,0.044386,0.39007
0.94,0.04368,0.39008
0.95,0.046028,0.40011
0.96,0.04495,0.40011
0.97,0.043928,0.40013
0.98,0.046556,0.41012
0.99,0.045493,0.41008
1,0.051583,0.43012
1.01,0.050592,0.43009
1.02,0.049745,0.43011
1.03,0.05224,0.44015
1.04,0.05124,0.44009
1.05,0.050186,0.44008
1.06,0.049215,0.44009
1.07,0.048388,0.44014
1.08,0.05097,0.45014
1.09,0.050098,0.45008
1.1,0.049034,0.45009
1.11,0.048206,0.45011
1.12,0.047311,0.45009
1.13,0.049768,0.46013
1.14,0.048853,0.46009
1.15,0.051372,0.47009
1.16,0.050395,0.47012
1.17,0.049689,0.4701
1.18,0.048825,0.4701
1.19,0.050652,0.48013
1.2,0.056767,0.50012
1.21,0.055984,0.5001
1.22,0.055111,0.50009
1.23,0.057614,0.51011
1.24,0.056599,0.5101
1.25,0.055935,0.51014
1.26,0.058333,0.5201
1.27,0.057226,0.5201
1.28,0.059783,0.53012
1.29,0.058708,0.53011
1.3,0.061202,0.54011
1.31,0.060271,0.54011
1.32,0.062964,0.55011
1.33,0.061882,0.5501
1.34,0.060812,0.55011
1.36,0.063064,0.56018
1.37,0.061963,0.56011
1.38,0.061079,0.56011
1.39,0.063209,0.57012
1.4,0.062412,0.57011
1.41,0.061647,0.57011
1.42,0.060838,0.57014
1.43,0.063382,0.58011
