b*,h*
,
0.01,0.011351
0.014001,0.013248
0.02,0.021529
0.023751,0.023584
0.03,0.030263
0.030834,0.030756
0.039488,0.03947
0.04,0.040145
0.046766,0.046742
0.05,0.050548
0.054657,0.0546
0.06,0.060392
0.062502,0.062451
0.07,0.070028
0.070328,0.070284
0.078184,0.078147
0.08,0.080229
0.085989,0.085947
0.09,0.09029
0.093537,0.094954
0.099114,0.099853
0.1,0.10033
0.1085,0.10827
0.11,0.1098
0.11708,0.11722
0.12,0.1205
0.12493,0.12517
0.13,0.13018
0.14,0.14068
0.14039,0.14104
0.14474,0.14563
0.14928,0.14975
0.15,0.1504
0.15235,0.15287
0.16,0.16037
0.17,0.17067
0.17114,0.17194
0.17535,0.177
0.17995,0.18083
0.18,0.18087
0.19,0.19094
0.19539,0.19697
0.2,0.20193
0.20326,0.20516
0.21,0.21221
0.21407,0.21629
0.22,0.2225
0.22649,0.22908
0.23,0.23286
0.24,0.24324
0.24201,0.24517
0.24982,0.25353
0.25,0.25373
0.26,0.26406
0.26522,0.26956
0.27,0.27471
0.27895,0.28401
0.28,0.28507
0.2806,0.28567
0.28823,0.29388
0.29,0.29579
0.29337,0.29941
0.29777,0.30414
0.3,0.30637
0.31,0.3171
0.31148,0.31867
0.31899,0.32672
0.32,0.32783
0.32675,0.33507
0.33,0.33874
0.33442,0.34344
0.34,0.34977
0.34932,0.35972
0.35,0.36049
0.35737,0.36869
0.36,0.37149
0.36499,0.37703
0.37,0.38256
0.38,0.39359
0.38011,0.39371
0.38784,0.4021
0.39,0.40448
0.3943,0.40968
0.4,0.41631
0.40316,0.41985
0.41,0.42742
0.41121,0.42872
0.41836,0.43666
0.42,0.4386
0.43,0.4501
0.43317,0.45359
0.44,0.46184
0.4406,0.4625
0.44828,0.47129
0.45,0.47331
0.45577,0.48002
0.46,0.48517
0.46322,0.48881
0.47,0.49733
0.47176,0.49931
0.48,0.50854
0.48542,0.51485
0.49,0.52054
0.49986,0.53383
0.5,0.53403
0.51,0.54524
0.52,0.55757
0.52126,0.55919
0.52541,0.56453
0.52954,0.56989
0.53,0.5704
0.53659,0.57838
0.54,0.58273
0.55,0.59592
0.55082,0.59698
0.55815,0.60617
0.56,0.60843
0.56554,0.61551
0.57,0.62163
0.57898,0.63341
0.58,0.63478
0.59,0.64814
0.6,0.66154
0.60127,0.66315
0.60808,0.67259
0.61,0.67543
0.61498,0.68213
0.62,0.68932
0.62188,0.69193
0.62866,0.7018
0.63,0.70368
0.64,0.71814
0.64252,0.72152
0.64963,0.7315
0.65,0.73203
0.66,0.74785
0.66282,0.75202
0.67,0.76236
0.67003,0.76241
0.67679,0.77262
0.68,0.77745
0.69,0.79213
0.7,0.80938
0.70345,0.81438
0.70955,0.82407
0.71,0.82483
0.71583,0.8358
0.72,0.84257
0.72251,0.84696
0.72888,0.85766
0.73,0.85973
0.73533,0.86822
0.74,0.87637
0.74446,0.88436
0.75,0.89478
0.75431,0.90259
0.76,0.9131
0.76151,0.91585
0.77,0.93389
0.77166,0.9377
0.77884,0.94893
0.78,0.95155
0.78451,0.96071
0.79,0.97189
0.79034,0.97261
0.8,0.99303
0.80192,0.99675
0.80757,1.009
0.81,1.0144
0.8175,1.0322
0.82,1.0381
0.823,1.044
0.82658,1.0518
0.82967,1.0613
0.83,1.0621
0.84,1.0861
0.84098,1.0884
0.84571,1.1005
0.84985,1.1137
0.85,1.1141
0.86,1.1407
0.86315,1.1506
0.86627,1.1609
0.86918,1.1721
0.87,1.1748
0.87645,1.195
0.88,1.207
0.88409,1.2229
0.89,1.2464
0.8911,1.2503
0.89495,1.273
0.9,1.2943
0.90026,1.2953
0.90369,1.314
0.90689,1.3326
0.90936,1.3524
0.91,1.3565
0.91226,1.3711
0.91369,1.392
0.91556,1.4124
0.91695,1.434
0.9181,1.456
0.91796,1.48
0.91767,1.5047
0.91533,1.5322
0.91394,1.5594
0.91061,1.59
0.91,1.5939
0.90511,1.6219
0.9,1.6518
0.8997,1.6534
0.89323,1.6789
0.89,1.6918
0.88718,1.7021
0.88086,1.7216
0.88,1.7247
0.87463,1.7431
0.87,1.7542
0.86346,1.7686
0.86,1.7771
0.85866,1.78
0.85357,1.7904
0.85,1.7997
0.84,1.8183
0.8362,1.8255
0.83,1.8356
0.82463,1.8454
0.82,1.855
0.81498,1.8626
0.81,1.8701
0.8,1.8842
0.79012,1.898
0.79,1.8981
0.78982,1.8983
0.78,1.908
0.77,1.9214
0.76,1.9308
0.75,1.9409
0.74291,1.9474
0.74,1.9499
0.73593,1.9534
0.73,1.9584
0.72,1.9656
0.71398,1.9704
0.71,1.9737
0.7,1.9805
0.69514,1.983
0.69,1.9865
0.68608,1.9888
0.68,1.9913
0.6756,1.9931
0.67,1.9956
0.66,2.0007
0.65,2.0047
0.64,2.0081
0.63,2.0115
0.62464,2.0124
0.62,2.0135
0.61,2.015
0.60933,2.0151
0.6,2.0176
0.59,2.0187
0.58106,2.019
0.58,2.019
0.57,2.0184
0.56428,2.0192
0.56,2.0195
0.55116,2.0174
0.55,2.0174
0.54739,2.0169
0.54,2.015
0.5375,2.0145
0.53,2.0141
0.52817,2.012
0.52178,2.0114
0.52,2.0117
0.51,2.0091
0.50453,2.0084
0.5,2.0069
0.49,2.0005
0.48697,1.999
0.48,1.9962
0.47,1.9923
0.46313,1.9875
0.46,1.9862
0.45066,1.9809
0.45,1.9805
0.44305,1.9758
0.4152,1.9548
0.41196,1.9515
0.41,1.9505
0.4061,1.9479
0.39,1.935
0.38,1.9186
0.37,1.9017
0.36,1.8844
0.35,1.8666
0.34,1.8483
0.33,1.8295
0.32,1.8101
0.31,1.7902
0.3,1.7697
0.29,1.7486
0.28,1.7269
0.27,1.7045
0.26,1.6813
0.25,1.6574
0.24,1.6327
0.23,1.6072
0.22,1.5807
0.21,1.5533
0.2,1.5248
0.19,1.4953
0.18,1.4645
0.17,1.4324
0.16,1.3989
0.15,1.3639
0.14,1.3272
0.13,1.2885
0.12,1.2478
0.11,1.2046
0.1,1.1588
0.09487,1.1341
0.08944,1.107
0.08367,1.077
0.07746,1.0431
0.07071,1.0044
0.06325,0.95865
0.05477,0.90242
0.04577,0.83652
0.03445,0.74131
0,0
