b*,h*
,
3.24,0.20144
3.23,0.20047
3.22,0.20233
3.21,0.19889
3.2,0.19894
3.19,0.19929
3.18,0.19612
3.17,0.19511
3.16,0.1972
3.15,0.19396
3.14,0.19326
3.13,0.19526
3.12,0.19154
3.11,0.19171
3.1,0.18792
3.09,0.18809
3.08,0.18898
3.07,0.18615
3.06,0.18717
3.05,0.18751
3.04,0.18335
3.03,0.18391
3.02,0.18149
3.01,0.18129
3,0.17874
2.99,0.16673
2.98,0.16716
2.97,0.16434
2.96,0.16951
2.95,0.16399
2.94,0.16561
2.93,0.16212
2.92,0.1638
2.91,0.16486
2.9,0.16176
2.89,0.16048
2.88,0.16257
2.87,0.16344
2.86,0.16051
2.85,0.15948
2.84,0.16114
2.83,0.15771
2.82,0.15913
2.81,0.15999
2.8,0.15612
2.79,0.16189
2.78,0.15774
2.77,0.15931
2.76,0.15503
2.75,0.15148
2.74,0.14966
2.73,0.15061
2.72,0.14763
2.71,0.14823
2.7,0.1455
2.69,0.14555
2.68,0.14289
2.67,0.1436
2.66,0.14051
2.65,0.1414
2.64,0.13832
2.63,0.13874
2.62,0.13591
2.61,0.13685
2.6,0.13728
2.59,0.13383
2.58,0.13172
2.57,0.13268
2.56,0.12922
2.55,0.13003
2.54,0.12734
2.53,0.12732
2.52,0.12532
2.51,0.12159
2.5,0.12217
2.49,0.12025
2.48,0.12081
2.47,0.11793
2.46,0.11805
2.45,0.11494
2.44,0.11541
2.43,0.11785
2.42,0.11314
2.41,0.11571
2.4,0.11204
2.39,0.11358
2.38,0.11489
2.37,0.11166
2.36,0.11254
2.35,0.11241
2.34,0.11064
2.33,0.11068
2.32,0.11046
2.31,0.10888
2.3,0.11043
2.29,0.11382
2.28,0.11574
2.27,0.11292
2.26,0.11354
2.25,0.11058
2.24,0.11159
2.23,0.10777
2.22,0.10505
2.21,0.10656
2.2,0.1042
2.19,0.10166
2.18,0.10232
2.17,0.10243
2.16,0.10044
2.15,0.10129
