b*,h*
,
0.91408,1.5847
0.91432,1.6102
0.91426,1.6364
0.91461,1.6629
0.91492,1.6893
0.9157,1.7165
0.91645,1.7444
0.91742,1.7725
0.91863,1.8008
0.92,1.8284
0.92004,1.8292
0.92248,1.8647
0.92524,1.9015
0.92876,1.9408
0.93,1.953
0.93228,1.9749
0.93615,2.0051
0.94,2.0322
0.94076,2.0376
0.95,2.094
0.95054,2.097
0.95575,2.124
0.96,2.1455
0.96111,2.1512
0.96863,2.1852
0.97,2.1903
0.98,2.2289
0.98415,2.2443
0.99,2.2644
0.99764,2.2905
1,2.299
1.0013,2.3036
1.0099,2.3291
1.01,2.3293
1.02,2.3558
1.08,2.4877
1.07,2.4846
1.06,2.4813
1.05,2.478
1.04,2.4746
1.03,2.4711
1.02,2.4675
1.01,2.4638
1,2.46
0.99,2.4561
0.98,2.4521
0.97,2.448
0.96,2.4438
0.95,2.4395
0.94,2.4351
0.93,2.4305
0.92,2.4259
0.91,2.4211
0.9,2.4162
0.89,2.4112
0.88,2.4061
0.87,2.4008
0.86,2.3954
0.85,2.3899
0.84,2.3843
0.83,2.3785
0.82,2.3726
0.81,2.3666
0.8,2.3604
0.79,2.354
0.78,2.3476
0.77,2.3409
0.76,2.3341
0.75,2.3272
0.74,2.3201
0.73,2.3128
0.72,2.3054
0.71,2.2978
0.7,2.29
0.69,2.2821
0.68,2.2739
0.67,2.2656
0.66,2.2571
0.65,2.2484
0.64,2.2395
0.63,2.2304
0.62,2.2211
0.61,2.2116
0.6,2.2018
0.59,2.1919
0.58,2.1817
0.57,2.1713
0.56,2.1606
0.55,2.1497
0.54,2.1385
0.53,2.1271
0.52,2.1154
0.51,2.1035
0.5,2.0912
0.49,2.0787
0.48,2.0658
0.47,2.0527
0.46,2.0392
0.45,2.0254
0.44,2.0113
0.43,1.9968
0.42,1.9819
0.41,1.9667
0.4,1.9511
0.39,1.935
0.4061,1.9479
0.41,1.9505
0.41196,1.9515
0.4152,1.9548
0.44305,1.9758
0.45,1.9805
0.45066,1.9809
0.46,1.9862
0.46313,1.9875
0.47,1.9923
0.48,1.9962
0.48697,1.999
0.49,2.0005
0.5,2.0069
0.50453,2.0084
0.51,2.0091
0.52,2.0117
0.52178,2.0114
0.52817,2.012
0.53,2.0141
0.5375,2.0145
0.54,2.015
0.54739,2.0169
0.55,2.0174
0.55116,2.0174
0.56,2.0195
0.56428,2.0192
0.57,2.0184
0.58,2.019
0.58106,2.019
0.59,2.0187
0.6,2.0176
0.60933,2.0151
0.61,2.015
0.62,2.0135
0.62464,2.0124
0.63,2.0115
0.64,2.0081
0.65,2.0047
0.66,2.0007
0.67,1.9956
0.6756,1.9931
0.68,1.9913
0.68608,1.9888
0.69,1.9865
0.69514,1.983
0.7,1.9805
0.71,1.9737
0.71398,1.9704
0.72,1.9656
0.73,1.9584
0.73593,1.9534
0.74,1.9499
0.74291,1.9474
0.75,1.9409
0.76,1.9308
0.77,1.9214
0.78,1.908
0.78982,1.8983
0.79,1.8981
0.79012,1.898
0.8,1.8842
0.81,1.8701
0.81498,1.8626
0.82,1.855
0.82463,1.8454
0.83,1.8356
0.8362,1.8255
0.84,1.8183
0.85,1.7997
0.85357,1.7904
0.85866,1.78
0.86,1.7771
0.86346,1.7686
0.87,1.7542
0.87463,1.7431
0.88,1.7247
0.88086,1.7216
0.88718,1.7021
0.89,1.6918
0.89323,1.6789
0.8997,1.6534
0.9,1.6518
0.90511,1.6219
0.91,1.5939
0.91061,1.59
0.91394,1.5594
